rowid	studyid	popid	speciesid	ord	fam	gen	sp	full_sp	habitat	source	development	acclim_stage	ctm_stage	tsr	sex	stand_lat	lat_bin	mass	all_mass	acclim_temp	cont_temp	acclim_dur	acclim_type	ctlimit	ramp_rate	groupID	treat	treatSD	treatN	cont	contSD	contN	simpctend	data_type	author	title	journal	year	webpage	ARR	var	precision	diff
1152	714	279	50	Diptera	Drosophilidae	Drosophila	suzukii	Drosophila suzukii	Terrestrial	Laboratory	Holo	Early life	Adult	within	Male	39.9	30 - 40	NA	1.55	28	23	NA	Constant	Ctmax	0.1	521	33.89333	0.6341098	15	32.69579	0.939038	19	Onset spasms	Emailed to get raw data - calculated in excel	"Xue, Q"	"Aged virgin adults respond to extreme heat events with phenotypic plasticity in an invasive species, Drosophila suzukii"	Journal of Insect Physiology	2020	https://www.sciencedirect.com/science/article/pii/S0022191019303075	0.239508	0.002928659	18.47845259	5
1153	714	279	50	Diptera	Drosophilidae	Drosophila	suzukii	Drosophila suzukii	Terrestrial	Laboratory	Holo	Early life	Adult	within	Male	39.9	30 - 40	NA	1.55	28	23	NA	Constant	Ctmax	0.1	522	33.13316	0.7820703	19	32.03722	0.6643246	18	Onset spasms	Emailed to get raw data - calculated in excel	"Xue, Q"	"Aged virgin adults respond to extreme heat events with phenotypic plasticity in an invasive species, Drosophila suzukii"	Journal of Insect Physiology	2020	https://www.sciencedirect.com/science/article/pii/S0022191019303075	0.219188	0.002268377	20.99627905	5
1154	714	279	50	Diptera	Drosophilidae	Drosophila	suzukii	Drosophila suzukii	Terrestrial	Laboratory	Holo	Adult	Adult	within	Male	39.9	30 - 40	NA	1.55	30	23	2	Constant	Ctmax	0.1	523	32.96437	0.7714572	16	32.69579	0.939038	19	Onset spasms	Emailed to get raw data - calculated in excel	"Xue, Q"	"Aged virgin adults respond to extreme heat events with phenotypic plasticity in an invasive species, Drosophila suzukii"	Journal of Insect Physiology	2020	https://www.sciencedirect.com/science/article/pii/S0022191019303075	0.038368571	0.00170626	24.20902708	7
1155	714	279	50	Diptera	Drosophilidae	Drosophila	suzukii	Drosophila suzukii	Terrestrial	Laboratory	Holo	Adult	Adult	within	Male	39.9	30 - 40	NA	1.55	30	23	2	Constant	Ctmax	0.1	524	33.1485	0.6881652	20	32.03722	0.6643246	18	Onset spasms	Emailed to get raw data - calculated in excel	"Xue, Q"	"Aged virgin adults respond to extreme heat events with phenotypic plasticity in an invasive species, Drosophila suzukii"	Journal of Insect Physiology	2020	https://www.sciencedirect.com/science/article/pii/S0022191019303075	0.158754286	0.000983607	31.88520345	7
1156	714	279	50	Diptera	Drosophilidae	Drosophila	suzukii	Drosophila suzukii	Terrestrial	Laboratory	Holo	Early life	Adult	within	Female	39.9	30 - 40	NA	1.55	28	23	NA	Constant	Ctmax	0.1	525	33.70048	0.7551853	21	32.1835	1.1919125	20	Onset spasms	Emailed to get raw data - calculated in excel	"Xue, Q"	"Aged virgin adults respond to extreme heat events with phenotypic plasticity in an invasive species, Drosophila suzukii"	Journal of Insect Physiology	2020	https://www.sciencedirect.com/science/article/pii/S0022191019303075	0.303396	0.003927606	15.95644196	5
1157	714	279	50	Diptera	Drosophilidae	Drosophila	suzukii	Drosophila suzukii	Terrestrial	Laboratory	Holo	Early life	Adult	within	Female	39.9	30 - 40	NA	1.55	28	23	NA	Constant	Ctmax	0.1	526	33.16944	1.3308002	18	33.47368	0.8385716	19	Onset spasms	Emailed to get raw data - calculated in excel	"Xue, Q"	"Aged virgin adults respond to extreme heat events with phenotypic plasticity in an invasive species, Drosophila suzukii"	Journal of Insect Physiology	2020	https://www.sciencedirect.com/science/article/pii/S0022191019303075	-0.060848	0.005416046	13.5881025	5
1158	714	279	50	Diptera	Drosophilidae	Drosophila	suzukii	Drosophila suzukii	Terrestrial	Laboratory	Holo	Adult	Adult	within	Female	39.9	30 - 40	NA	1.55	30	23	2	Constant	Ctmax	0.1	527	33.72667	0.3351207	18	32.1835	1.1919125	20	Onset spasms	Emailed to get raw data - calculated in excel	"Xue, Q"	"Aged virgin adults respond to extreme heat events with phenotypic plasticity in an invasive species, Drosophila suzukii"	Journal of Insect Physiology	2020	https://www.sciencedirect.com/science/article/pii/S0022191019303075	0.220452857	0.001576979	25.18181346	7
1159	714	279	50	Diptera	Drosophilidae	Drosophila	suzukii	Drosophila suzukii	Terrestrial	Laboratory	Holo	Adult	Adult	within	Female	39.9	30 - 40	NA	1.55	30	23	2	Constant	Ctmax	0.1	528	33.5925	0.6470821	24	33.47368	0.8385716	19	Onset spasms	Emailed to get raw data - calculated in excel	"Xue, Q"	"Aged virgin adults respond to extreme heat events with phenotypic plasticity in an invasive species, Drosophila suzukii"	Journal of Insect Physiology	2020	https://www.sciencedirect.com/science/article/pii/S0022191019303075	0.016974286	0.00111137	29.99650909	7
1160	714	279	50	Diptera	Drosophilidae	Drosophila	suzukii	Drosophila suzukii	Terrestrial	Laboratory	Holo	Early life	Adult	within	Male	39.9	30 - 40	NA	1.55	28	23	NA	Constant	Ctmax	0.1	529	33.67462	0.600314	13	32.05438	1.0113224	16	Onset spasms	Emailed to get raw data - calculated in excel	"Xue, Q"	"Aged virgin adults respond to extreme heat events with phenotypic plasticity in an invasive species, Drosophila suzukii"	Journal of Insect Physiology	2020	https://www.sciencedirect.com/science/article/pii/S0022191019303075	0.324048	0.003665784	16.51644348	5
1161	714	279	50	Diptera	Drosophilidae	Drosophila	suzukii	Drosophila suzukii	Terrestrial	Laboratory	Holo	Early life	Adult	within	Male	39.9	30 - 40	NA	1.55	28	23	NA	Constant	Ctmax	0.1	530	31.74238	1.4218857	21	32.32857	0.8207575	21	Onset spasms	Emailed to get raw data - calculated in excel	"Xue, Q"	"Aged virgin adults respond to extreme heat events with phenotypic plasticity in an invasive species, Drosophila suzukii"	Journal of Insect Physiology	2020	https://www.sciencedirect.com/science/article/pii/S0022191019303075	-0.117238	0.005134099	13.95622278	5
1162	714	279	50	Diptera	Drosophilidae	Drosophila	suzukii	Drosophila suzukii	Terrestrial	Laboratory	Holo	Adult	Adult	within	Male	39.9	30 - 40	NA	1.55	30	23	2	Constant	Ctmax	0.1	531	33.58632	0.8489157	19	32.05438	1.0113224	16	Onset spasms	Emailed to get raw data - calculated in excel	"Xue, Q"	"Aged virgin adults respond to extreme heat events with phenotypic plasticity in an invasive species, Drosophila suzukii"	Journal of Insect Physiology	2020	https://www.sciencedirect.com/science/article/pii/S0022191019303075	0.218848571	0.002078626	21.93369616	7
1163	714	279	50	Diptera	Drosophilidae	Drosophila	suzukii	Drosophila suzukii	Terrestrial	Laboratory	Holo	Adult	Adult	within	Male	39.9	30 - 40	NA	1.55	30	23	2	Constant	Ctmax	0.1	532	32.87857	0.6269233	21	32.32857	0.8207575	21	Onset spasms	Emailed to get raw data - calculated in excel	"Xue, Q"	"Aged virgin adults respond to extreme heat events with phenotypic plasticity in an invasive species, Drosophila suzukii"	Journal of Insect Physiology	2020	https://www.sciencedirect.com/science/article/pii/S0022191019303075	0.078571429	0.001036614	31.05928738	7
1164	477	281	62	Coleoptera	Staphylinidae	Halmaeusa	atriceps	Halmaeusa atriceps	Terrestrial	Field	Holo	Adult	Adult	within	Unknown	46.9	10	NA	7.771	0	5	168	Constant	Ctmin	0.5	533	-4.1	0.316227766	10	-2.9	0.948683298	10	Onset spasms	Graph	"Slabber, S"	Differential responses of thermal tolerance to acclimation in the sub-Antarctic rove beetle Halmaeusa atriceps	Physiological Entomology	2005	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-3032.2005.00448.x	0.24	0.004	15.8113883	-5
1165	477	281	62	Coleoptera	Staphylinidae	Halmaeusa	atriceps	Halmaeusa atriceps	Terrestrial	Field	Holo	Early life	Adult	within	Unknown	46.9	10	NA	7.771	0	5	168	Constant	Ctmin	0.5	534	-3.6	0.632455532	10	-2.3	0.632455532	10	Onset spasms	Graph	"Slabber, S"	Differential responses of thermal tolerance to acclimation in the sub-Antarctic rove beetle Halmaeusa atriceps	Physiological Entomology	2005	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-3032.2005.00448.x	0.26	0.0032	17.67766953	-5
1166	477	281	62	Coleoptera	Staphylinidae	Halmaeusa	atriceps	Halmaeusa atriceps	Terrestrial	Field	Holo	Early life	Adult	within	Unknown	46.9	10	NA	7.771	5	0	168	Constant	Ctmax	0.5	535	27.4	0.948683298	10	27.6	0.316227766	10	Onset spasms	Graph	"Slabber, S"	Differential responses of thermal tolerance to acclimation in the sub-Antarctic rove beetle Halmaeusa atriceps	Physiological Entomology	2005	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-3032.2005.00448.x	-0.04	0.004	15.8113883	5
1167	415	282	19	Diptera	Tephritidae	Ceratitis	capitata	Ceratitis capitata	Terrestrial	Laboratory	Holo	Adult	Adult	within	Mixed	NA		5.5	5.5	23	25	240	Fluctuating	Ctmin	0.25	536	6.34982079	0.7181064	20	6.68817204	0.7052831	20	No response to stimulus	Graph	"Terblanche, J"	"Thermal variability alters climatic stress resistance and plastic responses in a globally invasive pest, the Mediterranean fruit fly (Ceratitis capitata)"	Entomologia Experimentalis et Applicata	2010	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1570-7458.2010.01067.x	0.169175625	0.012663763	8.886251696	-2
1168	415	282	19	Diptera	Tephritidae	Ceratitis	capitata	Ceratitis capitata	Terrestrial	Laboratory	Holo	Adult	Adult	within	Mixed	NA		5.5	5.5	25	27	240	Fluctuating	Ctmin	0.25	536	6.68817204	0.7052831	20	7.26164875	0.7309297	20	No response to stimulus	Graph	"Terblanche, J"	"Thermal variability alters climatic stress resistance and plastic responses in a globally invasive pest, the Mediterranean fruit fly (Ceratitis capitata)"	Entomologia Experimentalis et Applicata	2010	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1570-7458.2010.01067.x	0.286738355	0.012896031	8.805863848	-2
1169	415	282	19	Diptera	Tephritidae	Ceratitis	capitata	Ceratitis capitata	Terrestrial	Laboratory	Holo	Adult	Adult	within	Mixed	NA		5.5	5.5	23	25	240	Fluctuating	Ctmin	0.25	537	6.60215054	0.7052831	20	6.5562724	0.7052831	20	No response to stimulus	Graph	"Terblanche, J"	"Thermal variability alters climatic stress resistance and plastic responses in a globally invasive pest, the Mediterranean fruit fly (Ceratitis capitata)"	Entomologia Experimentalis et Applicata	2010	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1570-7458.2010.01067.x	-0.02293907	0.012435606	8.967399503	-2
1170	415	282	19	Diptera	Tephritidae	Ceratitis	capitata	Ceratitis capitata	Terrestrial	Laboratory	Holo	Adult	Adult	within	Mixed	NA		5.5	5.5	25	27	240	Fluctuating	Ctmin	0.25	537	6.5562724	0.7052831	20	6.35268817	0.7181064	20	No response to stimulus	Graph	"Terblanche, J"	"Thermal variability alters climatic stress resistance and plastic responses in a globally invasive pest, the Mediterranean fruit fly (Ceratitis capitata)"	Entomologia Experimentalis et Applicata	2010	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1570-7458.2010.01067.x	-0.101792115	0.012663763	8.886251696	-2
1171	415	282	19	Diptera	Tephritidae	Ceratitis	capitata	Ceratitis capitata	Terrestrial	Laboratory	Holo	Adult	Adult	within	Mixed	NA		5.5	5.5	23	25	240	Fluctuating	Ctmin	0.25	538	6.92329749	0.7437531	20	7.0781362	0.7437531	20	No response to stimulus	Graph	"Terblanche, J"	"Thermal variability alters climatic stress resistance and plastic responses in a globally invasive pest, the Mediterranean fruit fly (Ceratitis capitata)"	Entomologia Experimentalis et Applicata	2010	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1570-7458.2010.01067.x	0.077419355	0.013829217	8.503568349	-2
1172	415	282	19	Diptera	Tephritidae	Ceratitis	capitata	Ceratitis capitata	Terrestrial	Laboratory	Holo	Adult	Adult	within	Mixed	NA		5.5	5.5	25	27	240	Fluctuating	Ctmin	0.25	538	6.94910394	0.7437531	20	7.0781362	0.7437531	20	No response to stimulus	Graph	"Terblanche, J"	"Thermal variability alters climatic stress resistance and plastic responses in a globally invasive pest, the Mediterranean fruit fly (Ceratitis capitata)"	Entomologia Experimentalis et Applicata	2010	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1570-7458.2010.01067.x	0.06451613	0.013829217	8.503568349	-2
1173	415	282	19	Diptera	Tephritidae	Ceratitis	capitata	Ceratitis capitata	Terrestrial	Laboratory	Holo	Adult	Adult	within	Mixed	NA		5.5	5.5	25	23	240	Fluctuating	Ctmax	0.25	539	41.87060998	0.6695804	20	41.41589649	0.6447812	20	No response to stimulus	Graph	"Terblanche, J"	"Thermal variability alters climatic stress resistance and plastic responses in a globally invasive pest, the Mediterranean fruit fly (Ceratitis capitata)"	Entomologia Experimentalis et Applicata	2010	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1570-7458.2010.01067.x	0.227356745	0.010801009	9.622055089	2
1174	415	282	19	Diptera	Tephritidae	Ceratitis	capitata	Ceratitis capitata	Terrestrial	Laboratory	Holo	Adult	Adult	within	Mixed	NA		5.5	5.5	27	25	240	Fluctuating	Ctmax	0.25	539	42.04805915	0.6695804	20	41.87060998	0.6695804	20	No response to stimulus	Graph	"Terblanche, J"	"Thermal variability alters climatic stress resistance and plastic responses in a globally invasive pest, the Mediterranean fruit fly (Ceratitis capitata)"	Entomologia Experimentalis et Applicata	2010	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1570-7458.2010.01067.x	0.088724585	0.011208448	9.445550259	2
1175	415	282	19	Diptera	Tephritidae	Ceratitis	capitata	Ceratitis capitata	Terrestrial	Laboratory	Holo	Adult	Adult	within	Mixed	NA		5.5	5.5	25	23	240	Fluctuating	Ctmax	0.25	540	43.43438078	0.6695804	20	43.14602588	0.6695804	20	No response to stimulus	Graph	"Terblanche, J"	"Thermal variability alters climatic stress resistance and plastic responses in a globally invasive pest, the Mediterranean fruit fly (Ceratitis capitata)"	Entomologia Experimentalis et Applicata	2010	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1570-7458.2010.01067.x	0.14417745	0.011208448	9.445550259	2
1176	415	282	19	Diptera	Tephritidae	Ceratitis	capitata	Ceratitis capitata	Terrestrial	Laboratory	Holo	Adult	Adult	within	Mixed	NA		5.5	5.5	27	25	240	Fluctuating	Ctmax	0.25	540	43.51756007	0.6199819	20	43.43438078	0.6695804	20	No response to stimulus	Graph	"Terblanche, J"	"Thermal variability alters climatic stress resistance and plastic responses in a globally invasive pest, the Mediterranean fruit fly (Ceratitis capitata)"	Entomologia Experimentalis et Applicata	2010	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1570-7458.2010.01067.x	0.041589645	0.010408943	9.801593281	2
1177	415	282	19	Diptera	Tephritidae	Ceratitis	capitata	Ceratitis capitata	Terrestrial	Laboratory	Holo	Adult	Adult	within	Mixed	NA		5.5	5.5	25	23	240	Fluctuating	Ctmax	0.25	541	43.27356747	0.6199819	20	43.00739372	0.719179	20	No response to stimulus	Graph	"Terblanche, J"	"Thermal variability alters climatic stress resistance and plastic responses in a globally invasive pest, the Mediterranean fruit fly (Ceratitis capitata)"	Entomologia Experimentalis et Applicata	2010	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1570-7458.2010.01067.x	0.133086875	0.01126995	9.419741994	2
1178	415	282	19	Diptera	Tephritidae	Ceratitis	capitata	Ceratitis capitata	Terrestrial	Laboratory	Holo	Adult	Adult	within	Mixed	NA		5.5	5.5	27	25	240	Fluctuating	Ctmax	0.25	541	43.06284658	0.6943797	20	43.27356747	0.6199819	20	No response to stimulus	Graph	"Terblanche, J"	"Thermal variability alters climatic stress resistance and plastic responses in a globally invasive pest, the Mediterranean fruit fly (Ceratitis capitata)"	Entomologia Experimentalis et Applicata	2010	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1570-7458.2010.01067.x	-0.105360445	0.010831759	9.608387391	2
1179	619	283	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Whole life	Early life	between	Mixed	55.92	50 - 60	NA	NA	10	20	NA	Constant	Ctmin	0.1	542	-1.07575758	1.1908585	33	-0.01521739	0.7580582	46	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.106054019	0.000554665	42.46045277	-10
1180	619	283	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Several gens	Early life	between	Mixed	55.92	50 - 60	NA	NA	10	20	NA	Constant	Ctmin	0.1	543	-1.12666667	1.4287524	30	-0.01521739	0.7580582	46	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.111144928	0.000805369	35.23729644	-10
1181	619	283	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Whole life	Early life	between	Mixed	55.92	50 - 60	NA	NA	20	25	NA	Constant	Ctmin	0.163	544	-0.01521739	0.7580582	46	2.10344828	1.4435776	29	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.423733134	0.003374065	17.21564445	-5
1182	619	283	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Several gens	Early life	between	Mixed	55.92	50 - 60	NA	NA	20	25	NA	Constant	Ctmin	0.163	545	-0.01521739	0.7580582	46	2.40645161	2.4011019	31	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.4843338	0.007938782	11.22336442	-5
1183	619	283	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Whole life	Early life	between	Mixed	55.92	50 - 60	NA	NA	10	20	NA	Constant	Ctmin	0.1	546	-0.46153846	1.1435437	39	1.5969697	1.2556086	33	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.205850816	0.000813049	35.07047411	-10
1184	619	283	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Several gens	Early life	between	Mixed	55.92	50 - 60	NA	NA	10	20	NA	Constant	Ctmin	0.1	547	-1.040625	1.1281899	32	1.5969697	1.2556086	33	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.26375947	0.000875497	33.79656925	-10
1185	619	283	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Whole life	Early life	between	Mixed	55.92	50 - 60	NA	NA	20	25	NA	Constant	Ctmin	0.163	548	1.5969697	1.2556086	33	3.37333333	1.5609311	30	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.355272726	0.005159648	13.92162627	-5
1186	619	283	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Several gens	Early life	between	Mixed	55.92	50 - 60	NA	NA	20	25	NA	Constant	Ctmin	0.163	549	1.5969697	1.2556086	33	2.35625	1.5537546	32	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.15185606	0.004928665	14.24411105	-5
1187	619	283	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Whole life	Early life	between	Mixed	55.92	50 - 60	NA	NA	10	20	NA	Constant	Ctmin	0.1	550	-0.93666667	0.9546559	30	1.42258065	1.520901	31	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.235924732	0.001049963	30.86120725	-10
1188	619	283	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Several gens	Early life	between	Mixed	55.92	50 - 60	NA	NA	10	20	NA	Constant	Ctmin	0.1	551	-0.85666667	0.8148126	30	1.42258065	1.520901	31	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.227924732	0.000967481	32.14984264	-10
1189	619	283	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Whole life	Early life	between	Mixed	55.92	50 - 60	NA	NA	20	25	NA	Constant	Ctmin	0.163	552	1.42258065	1.520901	31	2.19677419	0.7409381	31	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.154838708	0.00369307	16.45531651	-5
1190	619	283	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Several gens	Early life	between	Mixed	55.92	50 - 60	NA	NA	20	25	NA	Constant	Ctmin	0.163	553	1.42258065	1.520901	31	2.84	1.4206846	30	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.28348387	0.005675823	13.27350392	-5
1191	619	284	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Whole life	Early life	between	Mixed	52.2	50 - 60	NA	NA	10	20	NA	Constant	Ctmin	0.1	554	-0.84545455	1.1540935	33	1.11935484	0.5895871	31	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.196480939	0.000515749	44.03326018	-10
1192	619	284	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Several gens	Early life	between	Mixed	52.2	50 - 60	NA	NA	10	20	NA	Constant	Ctmin	0.1	555	-1.42352941	1.0476695	34	1.11935484	0.5895871	31	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.254288425	0.00043496	47.94852999	-10
1193	619	284	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Whole life	Early life	between	Mixed	52.2	50 - 60	NA	NA	20	25	NA	Constant	Ctmin	0.163	556	1.11935484	0.5895871	31	2.15333333	1.1081931	30	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.206795698	0.002085989	21.89495301	-5
1194	619	284	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Several gens	Early life	between	Mixed	52.2	50 - 60	NA	NA	20	25	NA	Constant	Ctmin	0.163	557	1.11935484	0.5895871	31	1.16333333	0.8907507	30	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.008795698	0.001506449	25.76456672	-5
1195	619	285	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Whole life	Early life	between	Mixed	56.72	50 - 60	NA	NA	10	20	NA	Constant	Ctmin	0.1	558	-0.8	0.6623516	32	1.68666667	0.9926396	30	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.248666667	0.000465541	46.34692542	-10
1196	619	285	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Several gens	Early life	between	Mixed	56.72	50 - 60	NA	NA	10	20	NA	Constant	Ctmin	0.1	559	-1.45625	0.6574327	32	1.68666667	0.9926396	30	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.314291667	0.000463513	46.44824095	-10
1197	619	285	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Whole life	Early life	between	Mixed	56.72	50 - 60	NA	NA	20	25	NA	Constant	Ctmin	0.163	560	1.68666667	0.9926396	30	2.26666667	0.662458	30	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.116	0.001898912	22.94814493	-5
1198	619	285	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Several gens	Early life	between	Mixed	56.72	50 - 60	NA	NA	20	25	NA	Constant	Ctmin	0.163	561	1.68666667	0.9926396	30	2.7	1.0897643	30	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.202666666	0.002897226	18.57842111	-5
1199	619	286	78	Hemiptera	Aphididae	Myzus	persicae	Myzus persicae	Terrestrial	Laboratory	Hemi	Whole life	Early life	between	Mixed	56.4	50 - 60	NA	NA	10	20	NA	Constant	Ctmin	0.1	562	-0.68	1.5949057	30	1.24	0.6765022	30	Loss of activity	Emailed to get raw data - calculated in R	"Alford, L"	Effects of acclimation and latitude on the activity thresholds of the aphid Myzus persicae in Europe	Journal of Applied Entomology	2012	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0418.2011.01658.x	0.192	0.00100046	31.61550893	-10
